,race,count_s,count_hotkey50,count_hotkey40,count_hotkey52,count_hotkey42,count_hotkey10,count_hotkey12,count_hotkey20,count_hotkey22,count_hotkey30,count_hotkey60,count_hotkey62,count_hotkey32,count_Base,count_hotkey70,count_hotkey72,count_hotkey00,count_hotkey90,count_hotkey80,count_SingleMineral,count_hotkey02,count_hotkey82,count_hotkey92,count_hotkey91,count_hotkey01,count_hotkey41,count_hotkey21,count_hotkey71,count_hotkey81,count_hotkey61,count_hotkey11,count_hotkey51,count_hotkey31,first_time_s,first_time_hotkey50,first_time_hotkey40,first_time_hotkey52,first_time_hotkey42,first_time_hotkey10,first_time_hotkey12,first_time_hotkey20,first_time_hotkey22,first_time_hotkey30,first_time_hotkey60,first_time_hotkey62,first_time_hotkey32,first_time_Base,first_time_hotkey70,first_time_hotkey72,first_time_hotkey00,first_time_hotkey90,first_time_hotkey80,first_time_SingleMineral,first_time_hotkey02,first_time_hotkey82,first_time_hotkey92,first_time_hotkey91,first_time_hotkey01,first_time_hotkey41,first_time_hotkey21,first_time_hotkey71,first_time_hotkey81,first_time_hotkey61,first_time_hotkey11,first_time_hotkey51,first_time_hotkey31,relative_line_position,avg_micro_apm,max_ap5s
0,0,5,0,0,0,0,50,0,159,1,0,253,2,0,5,2,0,3,3,0,58,1,0,7,1,0,8,2,0,9,0,0,0,365,0,7000,7000,6999,7000,45,7000,45,0,7000,5,630,7000,640,0,7000,595,100,7000,125,520,7000,580,175,7000,209,265,6999,275,7000,6999,7000,0,0,1486,13
1,1,0,10,1,0,0,69,0,830,43,0,141,6,0,44,10,0,1002,6,0,681,1,0,1,3,0,10,3,0,0,2,0,1,1280,7000,605,0,6999,7000,0,7000,60,0,7000,205,5,7000,1240,0,7000,5,0,7000,10,0,7000,880,0,7000,739,0,6999,7000,0,6999,870,0,0,1846,26
2,2,30,0,0,0,0,93,0,694,66,0,432,7,0,24,4,0,1347,2,0,77,2,0,95,2,0,44,2,0,3,0,0,0,1176,125,7000,7000,6999,7000,5,7000,5,5,7000,5,15,7000,40,0,7000,0,0,7000,0,55,7000,55,445,7000,459,965,6999,995,7000,6999,7000,0,0,4119,40
3,1,0,14,0,0,0,11,0,461,1,0,499,3,0,143,3,0,3,2,0,8,3,0,0,1,0,0,1,0,0,1,0,0,318,7000,20,7000,6999,7000,0,7000,0,0,7000,0,30,7000,120,30,7000,285,30,7000,350,25,7000,7000,25,7000,6999,25,6999,7000,25,6999,7000,0,0,3697,39
4,0,198,5,1,3,228,8,25,588,1,2,281,2,7,459,2,0,30,4,1,443,2,1,1,1,0,0,0,0,0,2,0,130,890,0,140,0,334,0,100,445,290,545,545,545,100,315,105,265,7000,265,60,970,105,450,1510,1510,60,7000,6999,7000,6999,7000,0,6999,0,0,0,2250,49
5,2,14,1,0,0,0,52,15,198,5,5,231,1,0,30,1,0,312,1,0,178,1,0,45,2,0,10,3,0,93,0,0,0,1027,130,485,7000,6999,7000,55,505,115,0,535,5,45,7000,50,5,7000,5,105,7000,105,150,7000,155,150,7000,709,145,6999,185,7000,6999,7000,0,0,2422,22
6,0,11,10,0,1,0,2,0,485,34,0,350,20,0,285,4,0,88,4,0,111,1,0,2,0,0,0,0,0,0,0,1,0,259,0,10,7000,4,7000,0,7000,10,10,7000,10,250,7000,295,55,7000,60,175,7000,230,205,7000,940,7000,7000,6999,7000,6999,7000,7000,4,7000,0,0,1917,24
7,0,64,5,4,0,64,106,0,684,104,0,422,9,0,118,7,0,183,6,0,246,1,0,111,0,0,0,2,0,2,4,0,0,817,0,355,0,6999,495,0,7000,5,5,7000,100,190,7000,195,105,7000,370,0,7000,35,230,7000,240,7000,7000,6999,1445,6999,1500,0,6999,7000,0,0,1659,18
8,2,26,0,0,0,0,21,8,873,4,0,64,11,12,487,4,5,84,6,0,1093,3,0,4,0,0,0,0,0,0,0,0,0,1882,125,7000,7000,6999,7000,5,230,5,5,7000,1445,5,280,275,570,1120,590,10,7000,10,10,7000,1010,7000,7000,6999,7000,6999,7000,7000,6999,7000,0,0,2711,33
9,0,7,0,1,0,54,32,0,841,11,0,74,6,0,542,3,0,412,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,308,0,7000,300,6999,360,5,7000,5,160,7000,165,55,7000,55,0,7000,0,7000,7000,7000,7000,7000,7000,7000,7000,6999,840,6999,845,195,6999,715,0,0,2603,28
