,label
0,http://kr.battle.net/sc2/en/profile/2343607/1/Rain/
1,http://eu.battle.net/sc2/en/profile/498165/1/EmpireKas/
2,http://kr.battle.net/sc2/en/profile/2344987/1/Life/
3,http://eu.battle.net/sc2/en/profile/4863808/1/Bomber/
4,http://us.battle.net/sc2/en/profile/2575821/1/HuKRC/
5,http://kr.battle.net/sc2/en/profile/2342269/1/Savage/
6,http://kr.battle.net/sc2/en/profile/2332264/1/Zest/
7,http://kr.battle.net/sc2/en/profile/2343484/1/herO/
8,http://kr.battle.net/sc2/en/profile/2344476/1/Dark/
9,http://eu.battle.net/sc2/en/profile/2910724/1/Lilbow/
10,http://eu.battle.net/sc2/en/profile/3585588/1/llllllllll/
11,http://eu.battle.net/sc2/en/profile/3074362/1/Stardust/
12,http://us.battle.net/sc2/en/profile/4585632/1/ZooTop/
13,http://eu.battle.net/sc2/en/profile/884897/1/LiquidSnute/
14,http://kr.battle.net/sc2/en/profile/2342343/1/Solar/
15,http://kr.battle.net/sc2/en/profile/2343484/1/herO/
16,http://eu.battle.net/sc2/en/profile/4085747/1/Alicia/
17,http://eu.battle.net/sc2/en/profile/2896854/1/MǂForGG/
18,http://eu.battle.net/sc2/en/profile/4234852/1/First/
19,http://kr.battle.net/sc2/en/profile/2332264/1/Zest/
20,http://eu.battle.net/sc2/en/profile/251061/1/roxkisLZ/
21,http://us.battle.net/sc2/en/profile/4352638/1/Tassadar/
22,http://eu.battle.net/sc2/en/profile/1021189/1/Dayshi/
23,http://kr.battle.net/sc2/en/profile/2344780/1/Sleep/
24,http://eu.battle.net/sc2/en/profile/3368730/1/ToD/
25,http://eu.battle.net/sc2/en/profile/326029/1/LiquidTLO/
26,http://eu.battle.net/sc2/en/profile/3074362/1/Stardust/
27,http://eu.battle.net/sc2/en/profile/1139573/1/BabyKnight/
28,http://kr.battle.net/sc2/en/profile/2343484/1/herO/
29,http://us.battle.net/sc2/en/profile/3985949/1/Bomber/
30,http://eu.battle.net/sc2/en/profile/950504/1/Grubby/
31,http://kr.battle.net/sc2/en/profile/2342120/1/Soulkey/
32,http://kr.battle.net/sc2/en/profile/2344285/1/Stats/
33,http://kr.battle.net/sc2/en/profile/2342419/1/soO/
34,http://eu.battle.net/sc2/en/profile/377576/1/LiquidMaNa/
35,http://kr.battle.net/sc2/en/profile/2343479/1/True/
36,http://eu.battle.net/sc2/en/profile/3538115/1/Golden/
37,http://eu.battle.net/sc2/en/profile/4085747/1/Alicia/
38,http://kr.battle.net/sc2/en/profile/2342983/1/Super/
39,http://eu.battle.net/sc2/en/profile/219517/1/TargA/
40,http://kr.battle.net/sc2/en/profile/2341466/1/sora/
41,http://kr.battle.net/sc2/en/profile/2343484/1/herO/
42,http://kr.battle.net/sc2/en/profile/2343531/1/DREAM/
43,http://eu.battle.net/sc2/en/profile/3611718/1/CMStormPolt/
44,http://us.battle.net/sc2/en/profile/4669755/1/ByuL/
45,http://eu.battle.net/sc2/en/profile/2101268/1/Stephano/
46,http://kr.battle.net/sc2/en/profile/2342923/1/Squirtle/
47,http://eu.battle.net/sc2/en/profile/3611718/1/CMStormPolt/
48,http://kr.battle.net/sc2/en/profile/2341467/1/Classic/
49,http://kr.battle.net/sc2/en/profile/2342419/1/soO/
50,http://kr.battle.net/sc2/en/profile/2343531/1/DREAM/
51,http://kr.battle.net/sc2/en/profile/2343263/1/Ruin/
52,http://xx.battle.net/sc2/en/profile/414/1/ducKDeoK/
53,http://us.battle.net/sc2/en/profile/4167590/1/AxHeart/
54,http://kr.battle.net/sc2/en/profile/2342120/1/Soulkey/
55,http://us.battle.net/sc2/en/profile/4589387/1/ToodmingCN/
56,http://xx.battle.net/sc2/en/profile/401/1/Soulkey/
57,http://us.battle.net/sc2/en/profile/3949344/1/WinDy/
58,http://eu.battle.net/sc2/en/profile/2978202/1/LiquidTaeJa/
59,http://kr.battle.net/sc2/en/profile/2343733/1/sOs/
60,http://kr.battle.net/sc2/en/profile/1106851/2/IlIlIlllIIll/
61,http://kr.battle.net/sc2/en/profile/2344207/1/Symbol/
62,http://kr.battle.net/sc2/en/profile/2343733/1/sOs/
63,http://kr.battle.net/sc2/en/profile/2332264/1/Zest/
64,http://us.battle.net/sc2/en/profile/3085708/1/SadArthur/
65,http://xx.battle.net/sc2/en/profile/415/1/EGJD/
66,http://eu.battle.net/sc2/en/profile/3311551/1/CMRevival/
67,http://us.battle.net/sc2/en/profile/4629528/1/IMNesTea/
68,http://kr.battle.net/sc2/en/profile/2332264/1/Zest/
69,http://eu.battle.net/sc2/en/profile/1139573/1/BabyKnight/
70,http://kr.battle.net/sc2/en/profile/2345126/1/RorO/
71,http://kr.battle.net/sc2/en/profile/2343479/1/True/
72,http://eu.battle.net/sc2/en/profile/4149248/1/JJAKJI/
73,http://us.battle.net/sc2/en/profile/4819996/1/iGXiGua/
74,http://kr.battle.net/sc2/en/profile/2342766/1/ByuL/
75,http://eu.battle.net/sc2/en/profile/2898004/1/MMA/
76,http://us.battle.net/sc2/en/profile/5393959/1/Sen/
77,http://us.battle.net/sc2/en/profile/2537456/1/Neeb/
78,http://eu.battle.net/sc2/en/profile/884897/1/LiquidSnute/
79,http://kr.battle.net/sc2/en/profile/2342269/1/Savage/
80,http://kr.battle.net/sc2/en/profile/2348639/1/ParalyzE/
81,http://kr.battle.net/sc2/en/profile/2343479/1/True/
82,http://eu.battle.net/sc2/en/profile/3010872/1/FnticHarstem/
83,http://eu.battle.net/sc2/en/profile/3538115/1/Golden/
84,http://kr.battle.net/sc2/en/profile/2344987/1/Life/
85,http://us.battle.net/sc2/en/profile/1317068/1/LiquidHerO/
